 ,Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam
25,"Tour du lịch biển Kì Co Bảo Nam - Trải nghiệm đáng để thử trong mùa hè này
Mình biết đến Kì Co như là một thiên đường biển đảo - Maldives của Việt Nam nên hè này đã lên ý định sẽ đến tận hưởng vui chơi ở đây. Còn đang loay hoay không biết làm thế nào để đi cho tiện thì được bạn giới thiệu cho tour du lịch trọn gói Bảo Nam chỉ với giá 300.000 đồng. Phải nói là mình cực kì hài lòng với gói dịch vụ của quán. Cano vận chuyển siêu nhanh, siêu êm, 5-10 phút đã ra tới đảo. Ở đây, mình được anh hướng dẫn viên chỉ dẫn rất nhiệt tình, tham quan tắm biển, lặn san hô, nghỉ ngơi trên bè nổi,... 
Chơi bời đã đời, mình được hướng dẫn về nhà hàng ăn uống, hải sản tươi sống, nhân viên thì thân thiện, tận tình. Với 300.000 mà được đi và ăn như thế này thì mình phải nói là quá ok hợp lí. 
Mình đã chơi rất vui và ăn rất ngon nên chắc chắn mình sẽ quay lại Kỳ Co khi có dịp, và hiển nhiên mình vẫn sẽ chon tour du lịch của Bảo Nam.",4,0,4,0,4,0
26,"Dự tính đi Kỳ Co lâu rồi mà chưa có dịp, tình cờ thấy review về dịch vụ tour Kỳ Co trọn gói mà chỉ có 300k nên rủ anh đi luôn.
Vì vụ một thoáng là đến Nhơn Lý, được anh chủ nhà hàng đón tiếp rất nhiệt tình. Có cả xe đưa bọn mình ra bến, cano hiện đại ghê, đi 10p là đến đảo Kỳ Có rồi, ban đầu cứ sợ say sóng mà ngồi lên đi nhanh quá chưa kịp say :))) chả bù trước kia ra đảo đi bằng ghe nó lâu mà mình say sóng là hết muốn chơi gì nữa. Ta nói tai nghe không bằng mắt thấy. Quả thật được mệnh danh là ""Maldives"" của Việt Nam đâu có sai. Trời xanh, biển xanh, núi cũng xanh, cảm giác như đang lạc vào chốn thiên đường vậy đó. Chụp hình thì khỏi chê đâu đâu cũng là background tuyệt đẹp, mình làm nguyên cả album luôn.Ở đây có cho thuê cái phao vịt giá 50k/h thôi, nhìn cute lạc lối dễ sợ. 
Tắm biển, chụp choẹt đã mình sang bãi dứa lặn san hô. Nước trong đến mức đứng ở trên bè mà cũng thấy được san hô luôn đó.Tiếp mình về nhà hàng tắm nước ngọt, quẩy đủ kiểu nên đói quá, nhà hàng phục vụ đủ các loại hải sản,nghĩ lại còn thèm.
Bọn mình đi có 2 người mà giá cũng 300k, quá rẻ có chuyến du lịch kỳ co. 
À quên bên đảo cũng có dịch vụ cho thuê cano siêu tốc giá 250k/h đó, quá tuyệt vời cho bạn nào thích trải nghiệm cảm giác mạnh.",5,0,4,0,4,0
27,"Mình được bạn giới thiệu cho tour kỳ co trọn gói 300k trên fanpage Du lịch biển Bảo Nam, thế là thấy cũng ok nên đặt tour bên đó luôn. Sáng cùng đồng bọn đến Nhơn Lý, anh chủ ra đón đến nhà hàng cực kỳ thân thiện. Tầm 9h đi cano ra kỳ co, cano xịn ghê, đi tầm 10p là đến đảo rồi. Bọn mình tha hồ chụp ảnh tắm biển các kiểu,cảnh đẹp mê hồn. trưa anh hướng dẫn viên của Bảo Nam đưa bọn mình ra bãi dứa lặn ngắm san hô thỏa thích xong về nhà hàng tắm nước ngọt, ăn hải sản muốn ngập mặt luôn, 8 món. là lá la nghỉ ngơi một lúc bọn mình về lại QN. Chuyến đi quá tuyệt, dịch vụ ok",4,0,4,0,4,0
28,"Thích thú vì về quê đi nhơn lý chơi. gia đình mình thuê qua nhà hàng này luôn vì được bạn giới thiệu và giá tour cúng phải chăng. 300k/người bao gồm di chuyển ca nô đi ra đảo và ăn trưa các món hải sản tươi k hà.
quy nhơn thì nổi tiếng vs hải sản tươi sống và giá rẻ
nhân viên nhiệt tình, vui vẻ
món ăn cũng hợp khẩu vị",0,0,4,0,0,0
29,"Anh chủ cực kỳ thân thiện luôn, nhà hàng hình như cung cấp dịch vụ vận chuyển luôn hay sao mà thấy các quán khác cũng liên hệ nhờ chở khách dùm. 
Cano đi nhanh dễ sợ, chỉ tầm 5 hay 10 phút gì đã ra đến bãi Kỳ Co. Chưa kịp say luôn (mình bị say sóng)
Nước biển trong vắt, cảnh thì tuyệt đẹp. Đi tham quan 1 vòng đã chụp muốn cháy máy. Công nhận ở cái nơi biển xanh cát trắng nắng vàng này, chỉ cần giơ máy lên chụp là đã có 1 bức ảnh đẹp rồi.
Tham quan tắm biển xong lại lên cano di chuyển qua bãi dứa lặn san hô, san hô ở đây nhiều và đủ màu sắc luôn. Bạn nào tắm mệt rồi thì lên bè để nghĩ. Mấy nhà hàng có làm bè nỗi để khách nghĩ ngơi hoặc muốn ăn luôn trên biển cũng đc.
Mình thì về nhà hàng.À. Cái phao vịt, hay thiên nga gì đó thuê có 50k/h à. Chụp rồi mà hình ở máy khác nên ko up đc :((",5,0,5,0,5,0
30,"Được du lịch quy nhơn thích ơi là thích. phải ghé một trong những địa điểm du lịch hot gần đây. gia đình mình chọn tour bên chỗ này vi giá cả phải chăng và dịch vụ tốt
không gian nhà hàng mát mẻ, phục vụ cũng chu đáo
nói chung hài lòng",4,0,4,0,0,0
31,"Đợt nghỉ lễ về rồi rủ bạn đi Kỳ Co, Eo gió vì đang là địa điểm hot của quy nhơn năm ni nên nhất định phải ghé. mình và bạn mua tour ra đảo cho khỏe, họ lo cho mình hết luôn.
Tour đi về trong ngay giá 300k.
cano chạy êm, mình không cảm thấy gì luôn, hải sản tươi và nhiều quá trời luôn
nhà hàng khá là chu đáo và nhiệt tình, dịch vụ tốt",4,0,4,0,4,0
32,"không gian nhà hàng sang trọng và mát mẻ
có nhiều chòi để ngồi nghỉ ngơi
nói nhà hàng chứ giá cả cũng phải chăng lắm
có dịp sẽ ghé lại",0,0,4,0,0,0
33,"Quán siêu rộng, tận 3 tầng. Tầng trên cùng là chuyên đồ nướng, với view thoáng nhìn ra được Quảng trường. Ở đây có thể gọi theo buffet giá nhiều loại 189k/người, set 289k và 389k, 489k thì có thêm nhiều loại thịt và hải sản hơn. ",0,0,4,0,0,0
34,"Dịch vụ nhanh và thân thiện, rất đáng đồng tiền. Tuy nhiên nhân viên không biết tiếng Anh nhưng thực đơn phong phú so với trung bình các nhà hàng ở Việt Nam. Chúng tôi rất muốn giới thiệu cho bạn nhà hàng này",0,0,4,0,0,0
35,"Nhà hàng phong cách Nhật, menu nhiều món lắm trang trí cũng ổn, giá thì được rồi không có cao, lẩu Nhật hai người nước lẩu ngon
Mấy bạn nhân viên ở đây dễ thương lắm, gọi là có liền.",0,0,4,0,0,0
36,"Nhà hàng Nhật chất lượng tốt, view đẹp, cạnh biển.Một trong những nơi yêu thích của tôi tại quy nhon",0,0,4,0,0,0
37,"Cảm nhận đầu tiên là quán yên tĩnh, giống như ở Nhật kinh khủng, nhân viên thì dễ thương. Thật sự thích phong cách nhà hàng Nhật như thế này.",0,0,5,0,0,0
38,"Nhà hàng nhật đầu tiên ở quy nhơn. Mình thấy đây là nhà hàng chế biến đồ ăn nước ngoài vị chuẩn nhất mình biết hihi. 
Quán nằm trên đường diên hồng, bên cạnh cà phê sky và với màu đỏ nổi bật nên rất dễ tìm. Menu ở đây toàn những món đặc trưng cho sứ sở hoa anh đào, nhà hàng sang trọng, phục vụ nhanh nhẹn, dễ thương. Mới vô là được chào đón nồng nhiệt luôn ^^ . Giá cả cũng khá hợp lí so với chất lượng và dịch vụ .",0,0,4,0,0,0
39,"Thấy ra các chỗ về sushi thì vẫn thấy đây là ổn nhất vì quy nhơn chỉ có mỗi quán này là bán đồ ăn nhật chứ mấy 😆😆😆, giá cũng ko phải mắc mà chất lượng. quán cũng lai rai khách, lên hơi chậm tý cũng thông cảm 
Phục vụ dễ thương.",0,0,3,0,0,0
40,"Quán rộng rãi , deco đẹp . Nhân viên phục vụ mặc kimono khá dễ thương , tính tình thân thiện . Menu phong phú , đa dạng . Deco đẹp , sạch sẽ , sang trọng . Tốc độ phục vụ đồ ăn khá lâu vì quán đông  giá hơi đắt nhưng chất lượng đồ ăn cũng oke :👍👍 
Nói chung là sẽ quay trở lại quán vì ở qui nhơn đây là nhà hàng Nhật Bản chuẩn nhất ❤️",0,0,4,0,0,0
41,"Đi ăn mùng 5 tết,quán cực kì đông do vậy mà nhân viên cũng bận bịu do đó thái độ của nhân viên rất tệ. Vô quán ngồi chờ gần cả tiếng mới đem đồ ăn lên, order thiếu của khách, đi ăn mà mất 2h mới ăn xong mà không hài lòng tí nào. Pv tệ mà còn phải trả phí pv 50k. ",0,0,2,0,0,0
42,"Món ăn bình thường nhưng không có điều gì bằng việc BẤT LỊCH SỰ. Mình muốn thanh toán bằng thẻ tín dụng thì đòi phí. Mình ăn hết 970k thu 35k tiền thẻ. Mình bảo j kì vậy, quán làm to mà đi thu phí của khách. Thế là 1 tràng bất lịch sự sổ ra. Còn nói mình nhỏ mà ... ủa nhỏ tuổi hơn thấy không đúng thì nói thôi. Làm chủ quán lớn không chịu lắng nghe học hỏi còn thái độ.",0,0,1,0,0,0
43,"Dành cả thanh xuân để ăn cho mụp 😋
Cơm gà Quê Hương! Ăn rồi mới biết tại sao giá cao vậy mà đông như vậy 😝
Nói chung là nhứt nách 😋",0,0,4,0,0,0
44,"Đến quán vào tối chủ nhật, nhà hàng Quê Hương khá đông lên gọi món hơi lâu. Giá cả hợp lý, nhân viên nhiệt tình.",0,0,3,0,0,0
45,"Dù cho Quy Nhơn đang càng có nhiều nhà hàng mới mở hay bao nhiêu thương hiệu gà rán đi chăng nữa thì rõ ràng Cơm gà Quê Hương vẫn là một thương hiệu không bao giờ phai nhạt trong lòng người dân Quy Thành
Cơm gà ở đây ngon từ cơm tới gà, một hương vị rất riêng, gà là gà ta, chắc thịt, lớp da gà được chiên giòn mà không cần dùng tới các loại bột chiên giòn.
Mở hộp cơm ra là thấy mùi thơm ngào ngạt. Nói tóm lại là thèm quá.
Thật ra nhà hàng Quê Hương nấu ngon lắm, nhưng hầu hết mọi người tới đây đều ăn cơm gà nên thành thương hiệu luôn ấy ^^
Hôm nào lễ được thưởng thì làm ngay 1 phần nào",0,0,4,4,0,0
46,"Đi du lịch thì xác định là ăn đặc sản rồi, cũng tại có tụi nhỏ nên lại phải vô quán cơm. Được recommend là đến Quê Hương 2 nhưng mà nói thật mình thấy nấu ăn cũng bình thường, nv phục vụ k chú tâm săn đón khách lắm.
Hôm sau mình ăn ngay trong khách sạn Mường Thanh thấy còn ngon hơn giá cả thì tương đương mà tôm cá tươi hơn hẳn. Note để các bạn nào đi du lịch nghe tư vấn mà định qua đây thì nên cân nhắc nhé.",0,0,3,0,0,0
47,"Ở qui nhơn nghe có nhà hàng quê hương nổi tiếng lắm , đi đâu cũng nghe tiếng hết trơn có tới 2 chi nhánh lận , mà sao mình lại không thích quán này cho lắm và cảm thấy không ngon . nhân viên phục vụ có vẻ không thân thiện , mặt chẳng thân thiện tí nào . menu có nhiều món , giá cả cũng được . mình ăn địa chỉ 2 cảm thấy ở đây hơi tối và nóng nực . chắc sẽ không quay lại",0,0,2,0,0,0
48,"Lần đầu có dịp đi Quy Nhơn chơi, được sắp xếp vào ăn trưa ở nhà hàng lớn vầy cũng khoái. Nhà hàng nằm sát biển có view đẹp, lại gần trung tâm thành phố Quy Nhơn",0,0,4,0,0,0
49,chưa xứng tầm với nhà hàng 4 sao.,0,0,2,0,0,0
50,"Từ bên ngoài nhìn vào nhà hàng mang 1 tông màu kem trắng khá là sang trọng đường vào nhà hàng cũng rộng rãi, nhà hàng này hình như vừa kết hợp khách sạn hồ bơi rồi điểm tâm cà phê sáng các thứ luôn hay sao ấy, mình đi với đoàn nên khi bước vào bàn tiệc thì trên bàn đã setup các món sẵn rồi chỉ cần gỡ giấy bao lại là ăn được rồi",0,0,4,0,0,0
51,"Đi đến nơi đây cũng lâu lắm rồi mà nay mới có dịp giờ rãnh để ngồi viết review cho chổ này.
Do mình may mắn được đi với công ty nên mình mới có dịp ghé đến nhà hàng này, mình thấy thực đơn của quán cũng hao hao như mấy trung tâm hội nghị khác thôi nhưng được cái quán này phục vụ khá là tốt, nhân viên thì thân thiện và vui vẻ lại còn chu đáo hơn. 
Về phía phần đồ ăn thì khá là ok nhe, có mấy món nghe tên khá là lạ vì ở Cần Thơ mình chưa có ăn bao giờ được dịp ra đây ăn thử thấy cũng khá là thích thích. Với lại cách trang trí của nhà hàng mình thấy cũng khá sang trọng đúng chuẩn nhà hàng hơn các nơi khác ^^
Ngoài ra nhà hàng có view khá đẹp vì sát với biển nên làm mình thích lắm!",0,0,4,0,0,0
52,"Một trong những nhà hàng mình có dịp ghé qua thưởng thức khi đến Quy Nhơn, mà lọt vào tầm ngắm của mình đây: Nhà hàng Hải Âu.Nhà hàng nằm ngay trung tâm Quy Nhơn nên từ đây ăn xong đi đâu cũng gần xịt.
Nhân viên cũng rất dễ chịu, nhờ gì các bạn cũng tận tình giúp. Nếu có dịp ra đây nữa mình nhất định sẽ ghé qua chỗ này!",0,0,4,0,0,0
53,"Đây là nhà hàng đầu tiên khi mình được đến Quy Nhơn, và cũng là chỗ mình thấy được nhất. Sảnh sau của nhà hàng sát biển nhìn đẹp mát lắm nhé.",0,0,4,0,0,0
54,Nhà hàng này nhìn cực kỳ sang trọng luôn nha,0,0,4,0,0,0
55,"Đặt chân tới quy nhơn là được công ty dẫn qua nhà hàng để ăn rồi do đi tới đây là tầm trưa rồi nên vào đây ăn luôn, đồ ăn của nhà hàng bắt mắt và hấp dẫn lắm luôn nha nhìn màu sắc cực kỳ ưng luôn ấy chứ, món nào món nấy nhìn mà muốn ăn liền, tôm thẻ ram ăn khá là ngon được bóc vỏ ra sẵn hết rồi nên ăn khá là ngon và tiện lợi, có món thịt thì làm mình thấy có vẻ nó hơi nhạt tý ướp không được tới lắm nên ăn với cơm nó nhạt hẵn ra",0,0,4,3,0,0
56,"Hôm bữa có dùng cơm trưa ở đây, nhà hàng khá rộng rãi, ngay gần biển luôn",0,0,4,0,0,0
57,"Không gian nhà hàng đẹp, rộng rãi thoáng mát. View nhìn ra biển đẹp và sạch. Nhân viên phục vụ rất lịch sự và nhiệt tình, xin thêm gì là thấy đem lên rất nhanh. Nói chung đây là nhà hàng được nhất trong cả chuyến đi 3 ngày ở Quy Nhơn của công ty mình. Tuy nhiên không biết sao trên bàn mình có một hộp gì không biết. Mong nếu có dịp sẽ ghé để thưởng thức thêm các món ăn ở nhà hàng này nữa.",0,0,4,0,0,0
58,"Hôm trước đi team với công ty mình có dùng bữa buổi trưa tại nhà hàng này Nhà hàng này có view biển đẹp. View biển chủ yếu là quán cafe thôi, còn ăn sảnh bên trong khá nóng.",0,0,3,0,0,0
59,"Đây là nhà hàng có thể nói mình hài lòng nhất trong chuyến đi. Nhà hàng phục vụ chu đáo, tới nơi là đồ ăn đã dọn sẵn sàng trên bàn để xơi. Nhân viên chủ động, nhiệt tình
Khong gian bàn ghế kê hơi chật chội",0,0,4,0,0,0
60,"Được công ty cho đi chơi. Tới Quy nhơn thì được ghé nhà hàng này ăn trưa. Đi vào từ sảnh thì không gian rất thoáng và mát mẻ. Nhưng đồ ăn cũng được ko có j đặc biệt, ăn chống đói ok. Có view biển khá đẹp",0,0,4,0,0,0
61,"Lúc rời xe đặt chân xuống thành phố biển cũng đúng ngay giờ cơm trưa, bụng réo inh ỏi. Phòng ốc rộng rãi, có máy lạnh nên không lo cái nóng ngoài kia, mỗi bàn khoảng 10 thực khách. Lúc vào bàn, các món ăn và trà đá đều đã được dọn lên hết, quá tuyệt vời luôn.",0,0,4,0,0,0
62,"Sau 1 đêm đánh giấc ngon lành trên đường ray, cả tiếng ngồi gật gù trên xe, nguyên đoàn ghé khách sạn dùng bữa trưa. Do mệt và đói bụng quá nên mình cũng không để ý cảnh quan nhà hàng. Vào bàn thì cứ bắt nhóm khoảng 10 người. Nhân viên phục vụ lên món nhanh, kêu gì là làm liền, rất mau lẹ.",0,0,4,0,0,0
63,"Nhà hàng này là nhà hàng mình hài lòng nhất trong chuyến đi. Tới nơi là cơm canh đồ ăn đã dọn sẵn ra bàn, chỉ việc ngồi xơi thoai hà. Nhân viên cũng nhanh nhẹn.",0,0,4,0,0,0
64,"Đây là nơi quen thuộc của khoa mình luôn. Tại mỗi lần hội nghị, sự kiện hay liên hoan cuối khoá gì đó là toàn ở đây.
Đợt rồi tổng kết làm lễ ra trường của K35 cũng làm tiệc ở đây.
Đặt tiệc ở đâu chứ ở đâu thì bao sang chảnh nha, phong cách Âu, đẹp, cái cổng cũng đẹp, chụp hình bao ảo diệu.
Khách sạn lớn nên cách phục vụ chuyên nghiệp. Không có vấn đề gì về phục vụ cả.
Tóm lại nhà hàng Hải Âu tuy giá cao hơn 1 tí nhưng mà đáng",0,4,4,0,0,0
65,"Khách sạn Hải Âu Quy Nhơn được thiết kế theo kiến trúc Châu Âu hiện đại. Vị trí địa lí gần nhiều khu vui chơi giải trí và các thắng cảnh du lịch hoang sơ tuyệt đẹp như Ghềnh Ráng, Bãi Dài, bãi Xép, khu du lịch Quy Hòa…Khách sạn Hải Âu nằm ở vị trí sát bờ biển; có bể bơi. Khách sạn có 2 khu 3 sao và 4 sao; thích hợp cho nhiều đối tượng khách. Giá cả phù hợp; Phong cách phục vụ chuyên nghiệp; Tuy nhiên chất lượng wifi hơi yếu",0,4,0,0,0,0
66,"Một nơi khá gọn gàng và đẹp. Nhìn từ bên ngoài, nhà hàng trông rất ấn tượng . Lý do tôi thích nhà hàng này là vì thức ăn và nhân viên của nó. Các nhân viên rất hữu ích và thân thiện, vì vậy khách hàng thường có khoảng thời gian dễ chịu ở nhà hàng này. Nói chung dịch vụ ở đây là tốt. Bạn bè của tôi và tôi thường đến đó khi chúng tôi muốn đi ăn.",0,0,4,0,0,0
67,"Không gian nhà hàng tạo cảm giác ấm cúng, gần gũi, rộng rãi, mát mẻ. Thực đơn gồm những món ăn bình dị, mang hương vị gia đình.",0,0,4,0,0,0
68,"Nhà hàng Mộc Viên là một nhà hàng đủ tiêu chuẩn phục vụ khách du lịch với không gian rộng rãi thoáng mát,  phục vụ tận tình. Quý khách đi theo nhóm nhỏ hoặc gia đình, nhà hàng vẫn có không gian riêng tư. Nếu có dịp đến Quy Nhơn, nên ghé Mộc Viên để cảm nhận ẩm thực miền Trung nói chung và ẩm thực Bình Định nói riêng",0,0,4,0,0,0
69,"Gia đình mình vào ăn tại nhà hàng này mà phong cách phục vụ rất kém, ngồi chờ 20p chưa có đồ ăn trong khi người tới sau lại có trước. Thật thất vọng.",0,0,2,0,0,0
70,"Được anh taxi chở qua chứ cũng k biết quán này từ trước,lúc mới đến thì lo là đắt lắm vì nhà hàng kiểu sang trọng,ai ngờ 6 người nên chưa hết 600k 
",0,0,4,0,0,0
71,"Mình vừa đến nhà hàng này cùng gia đình vì đã xem trên foody và thấy review cũng khá ổn. 
-Điều đầu tiên mình cảm nhận được là không gian quán rất rộng, chủ yếu là từ gỗ nhưng vì để quá nhiều bàn ghế và cách bài trí nên nhìn rất xấu, và còn khá nóng nhưng mình cũng không quan tâm lắm vì chủ yếu là món ăn và giá cả
-Gia đình mình chờ 40 phút mà vẫn chưa có gì bưng ra trong khi lúc mình vào chỉ có 1 mình gia đình mình, hoàn toàn không có khách khác
-Thái độ của nhân viên order, nhân viên phục vụ, đầu bếp trưởng và thậm chí là quản lý cũng cực kì vô trách nhiệm và thiéu văn hoá. Lúc mẹ mình vào hỏi tại sao vẫn chưa lên món thì bếp trưởng liền lớn tiếng với mẹ mình và xua tay kêu mẹ mình đi lên chỗ khác. Quản lý cũng không xin lỗi. Gia đình mình quyết định không ăn nữa và tính tiền ra về thì nhân viên tính tiền ra quăng bill xuống bàn. 
Mình sẽ không bao giờ tới quán này ăn nữa và cả những người quen của mình cũng thế. Các bạn nên suy nghĩ trước khi đến ăn kẻo lại rước bực mình vào người. Và mình nghĩ chủ nhà hàng nên chấn chỉnh lại cách làm việc và thái độ của quản lý, dau bếp và nhân viên không thể nào có chuyện nhân viên ngồi cùng chỗ rồi ăn cơm trước mặt khách như vậy được. Thân!",0,0,1,0,0,0
72,"Nhà hàng tốt, không gian thoáng đãng ạ.
Nói chung để ăn cơm gia đình thì đây là lựa chọn k tệ chút nào kaka.",0,0,4,0,0,0
73,"Trưa ngày đầu tiên đến Quy Nhơn đoàn mình được đưa đến nhà hàng này dùng cơm tru79a.
Mới đọc qua tên nhà hàng cũng đã mường tượng đượcnhà hàng xây cất bằng gỗ rồi, không gian rộng rãi mát mẻ.
Đoàn mình 12 người mà nhân viên dọn cái bàn chút éc (chừng 1m vuông), biểu ăn sao k biết, chắc 1 người ăn 2 người nhịn vì k gắp được.
Có chú quạo quá la lên, mà có nv nữ nói ngồi được mà, nhưng k ai chịu nên kéo thêm 1 bàn vô, vậy mà còn chưa được thoải mái cho lắm nữa kìa.",0,0,2,0,0,0
74,"Nhà hàng này hải sản tươi sống, không gian thoáng đãng phù hợp với gia đình hay tiếp khách hàng gì cũng ok hết. Mỗi tội giá hơi chát nên ko thể ghé thường xuyên huhu",0,0,4,0,0,0
75,"Nhà hàng thuyền này nằm lênh đênh trên biển, view đẹp nhưng  có mùi hôi do rác đọng gần bờ. Buổi tối gió mát lồng lộng. Menu chuyên về hải sản .Tối nào cũng đông khách cả, giá cả hơi cao so với mặt bằng chung.",0,0,3,0,0,0
76,"Nhà hàng này là điểm đến yêu thích của gia đình mình. Phục vụ rất nhanh, rất nhiệt tình. Nước chấm đủ loại, cực chất nữa. View thì đẹp nhưng tùy chỗ",0,0,4,0,0,0
77,"Mình là khách du lịch, tìm đường đến nhà hàng thiệt vật vã, phải hỏi mấy người đi vòng vèo mới đến được. Nhưng ko bỏ công, nhà hàng có view đẹp, ăn uống trên tàu và ngắm biển cực thích. Tiếc là mình đi với người lớn nên không tiện chụp hình.
Phục vụ nhanh nhẹn, thân thiện.
Có điều WC có cửa sổ nhìn ra biển nên cũng hơi ngại. Haha",0,0,4,0,0,0
78,"Rồi nói ngta đưa đến Nhà Hàng Bè Nổi Biển Đông là ngta biết à. 
Rồi vô vấn đề chính, giá hợp lý, không mắc nếu so với giá trên SG. Có câu cá free mà câu hoài ko đc con nào buồn dễ sợ :))).",4,0,4,0,0,0
