,Review,mua_sam
18,"Ông anh nhờ đi tìm mua nho khô cho cháu nên lượn vào đây tìm. Khách đông quá trời nên đi lại hơi khó. Nay siêu thị lại có trang trí noel nên khách đi mua sắm tranh thủ đứng chụp ngay chỗ ra vào nên dễ thấy. Những em nhỏ thì thấy thế thích quá trời. 
Trong này cũng có khu ẩm thực với đa dạng món cho lhachs lựa chọn. Mình thấy ở khu này lúc nào cũng đông khách chắc do cũng tiện ăn tại chỗ vẫn được. 
Hoa quả rau và các thực phẩm khác cũng tươi. Giá cũng tương đối ổn. 
Chỉ tiếc đồ bánh trái này kia vẫn còn ít quá. Mình đi tìm nho khô quanh hết mà không thấy bán, trong khi ở Big C cái này khá nhiều. Ở đây chỉ có 1 loại nho khô duy nhất nhưng lại của Việt Nam mà mình lại muốn mua của Mỹ. Không phải là không thích mua đồ Việt Nam nhưng do chưa ăn nho khô của hãng này mà lại muốn mua cho cháu nên chưa dám mua hihi.",4
19,"Đi đã ba lần rồi ))) lần đầu ăn mì ly, lần hai ăn mì ly, lần ba cũng ăn mì ly ))) nhân viên thân thiệt, nhưng pha nước hơi lạc :<<< nhiều đồ ăn ngon )) nch thíchhh",4
20,"Nho tính tiền trăm mà thúi quoắc này cũng bán được, ngoại nhập về xa quá bị thối nho hả? Ko những nho, mà những món khác cũng ko ăn đc cái nào. Do mình xui hay quán thiếu chuyên nghiệp?",1
21,"Lâu lâu mới được công ty đặt chiêu đãi. đơn gần cả triệu chứ ít đâu .Giao hàng thì cực nhanh nhưng buồn thay trái cây bên quán quá tệ. Nho này chắc để trong tủ lạnh lâu ngày bị rút hết nước nên lúc giao hàng nho mới nhăn nhúm như thế này. 
Bán hàng hok có tâm gì hết trơn. chắc chắn sẽ không có đơn thứ 2 cho quán này",1
22,Làm ăn quan liêu quá vậy shop. Khác xa với hình ảnh shop chụp vậy!!!! Héo hơn pà già 60t nữa đó ạ!!!!!!!,2
23,"Được hôm được công ty chiêu đãi mà vầy đó. Ủa mắc cười ghê, nho này đòi đi bán cho khách có ác quá không vậy. Cái nho mình mua để 4-5 ngày chắc mới được vậy luôn á. Cam thì úng thúi k ăn dc
Gửi chủ shop: bán hàng không có tâm vậy rùi mai mốt k ai mua ủng hộ nữa đâu nha. Bai",2
24,"Mua cả kg nho về héo queo, giá 210k/kg hẳn hoi.",1
25,"Bán hàng héo, hư hỏng cho khách.
Vì lười đi ra tận nơi nên công ty mình đặt qua now cho nhanh. Ai dè ship về toàn đồ hư. Nho, dâu héo queo, quýt hư. Làm ăn sống nhăn. Cạch!!!!",1
26,"Mới đặt về ăn mà nho thấy héo hết à, chắc để đâu tầm nửa tháng rồi",2
27,"Đi chơi với bà chị, xong được chở tới đây để mua vài món đồ ăn uống linh tinh luôn :))) Ghé đến thấy cửa hàng cũng nhỏ thôi, kiểu minimart ấy, nhưng bày trí gọn gàng, sạch sẽ, có niêm yết giá rõ ràng nên thoải mái lựa chọn.

Ở đây hàng hóa cũng đa dạng lắm nha, có bánh kẹo nhập khẩu, trái cây nhập khẩu, thực phẩm chức năng, kem, thịt, cá các thứ... Mình thích nhất là trái cây vì thấy tươi ngon lắm. Mấy món ăn nhanh của Hàn Quốc như mì cay, tokbokki đều có. Bánh kẹo Nhật thì quá là nhiều luôn. Nói chung món chi thấy cũng ưng, keke.

Giá cả mình thấy cũng phù hợp, từ mười mấy ngàn trở lên cũng có á (tùy món). Bên này còn nhận giao hàng tận nơi nữa nên cũng tiện lợi cho các chị em văn phòng, mẹ nội trợ lắm nè :))",4
28,"Siêu thị thuộc dạng mini nhưng bán cũng khá nhiều đồ nhập ngoại, cũng gần nhà nên mình cũng hay ghé lắm. Ở đây có các loại bánh kẹo, sữa, nước các loại, trái cây như nho, lựu, dâu cũng tươi ngon lắm.
Bận không đi được thì siêu thị cũng ship hàng đến nhà luôn. Ủng hộ.",4
29,"Mới phát hiện siêu thị ngoại nhập, vô đây mua được loại kẹo này. bì có 16k hà, kẹo ăn cũng ok, bên ngoài chua, ăn chặp mặn mặn, có vị giống chanh muối
ở đây còn bán nhiều đồ nhập nữa, cũng chất lượng lắm đó",4
30,"Nếu có ai đam mê làm bánh mà tốn quá nhiều tiền vì mua nguyên liêu thì mấy bạn hãy đến Dana, không gì là không có để làm bánh cả 👏🏻👏🏻👏🏻 ở đây mua gì cũng có, giá cả đảm bảo rẻ hơn những nơi khác, có dịp chờ gấu đi mua nguyên liệu gấu bảo tới đây, mua những thứ mà ở những chỗ khác không có 👏🏻👏🏻 vi diệu thật 🙌🏻🙌🏻🙌🏻",4
31,"Xưa giờ rất thích làm bánh nhưng lại khó kém nguyên liệu vật dụng để làm, từ khi mò ra được quán này thì cần gì tới đây mua đều có, tất cả mọi thứ cần để các bạn làm bánh, đông sương khuôn ......ai có chung niềm đam mê làm bánh đang kím chổ mua nguyên liệu thì tới đây nhé hì hì 😄😄😄🍧🍨🍰🍩🍦🍫🍮🍕🍝🍔🍭🍞🍜🍢🍡🍙",4
32,"Nhờ bạn mua giúp ram chả cá quán này. Ram giòn, ngon.
Cây ram to bự, nhân khá vừa miệng
Một hộp này chắc cũng tầm 20 cây. 
Ăn không cũng đc mà chấm với tương ớt cay cay lại càng ngon
Cô chủ vui tính",4
33,"Thèm chả cá quá mà k biết nên mau đâu. Được dịp chị bé làm cùng giới thiệu chỗ này nên ăn thử. Chả cá dai ngon. Một hộp nhiều miếng lắm. Chả cá này nấu bánh canh thì dai ngon phải biết
Cô chủ khá nhiệt tình. Mua về còn được bỏ hộp, gói trong túi ni lông có hẳn thương hiệu thuỷ luôn",4
34,"Món này khá nổi tiếng ở chợ Hàn. Mình được anh đồng nghiệp mời dùng thử chả cá và nem cá ở đây. Chả cá thơm cực, rất ngon miệng, nem chả to, vỏ nem giòn giòn, phía trong có lát chả thơm thơm. Ăn cùng tương ớt là đúng bài. Mùi vị không thể quên được. Vị trí quán ở chợ Hàn, tiện để mua làm quà Đà Nẵng. Nghe giá thì cũng rẻ thôi.",4
35,"Mới mua vè khách sạn ăn thử, chả rất dai và ngon, lúc về sẽ mua nhiều để ăn và làm quà. ko biết chả cá Thủy có ship ra Ha Nội không.",4
36,"Bạn bè ra Đà Nẵng du lịch toàn bảo mình dẫn đi mua đặc sản các kiểu về làm quà. Thường mình hay dẫn đi mua chả bò nay thử đổi qua đây, cũng vì nghe bạn nói chả cá ở đây chất lượng đảm bảo nên cũng khá yên tâm. Quầy nằm trong chợ Hàn, ghé tới là nghe thơm nức mũi với thấy cũng khá hợp vệ sinh. Mình có mua thêm 2 phần gồm chả chiên và chả có tẩm bột bên ngoài. Nhận xét thấy chả dai ngon có vị ngọt của cá rõ ràng, vừa ăn rất đáng để thử.",4
37,"Có bà Dì Hà Nội vào chơi thế là dẫn vào đây mua chả cá về làm quà. Vì chỗ này mình cũng hay mua về ăn.
Đi buổi sáng nên chả mới làm ra nóng hổi, thơm lừng. Chả cá Thu, thác lác thì đúng ngon rồi.
Có đóng bì sẵn nên cũng thấy hợp vệ sinh và làm quà.
Tất nhiên có dịp khác sẽ ghé lại.",4
38,"Nghiện đồ si nên mình luôn tìm những shop đồ si chất, mình đã có dịp ghé shop này rồi. Đồ vô cùng chất, đa số là đồ còn mới và hợp với phong cách của mình. Sẽ quay lại ủng hộ shop và chị chủ shop dễ thương. Hình này là đầm mình mua được ở shop đó, mua xong chị chủ còn rự tay ủi lại cho mình nữa nè 😍",5
39,"Vốn là một tín đồ của 2hand nhưng không biết tìm đâu có đồ độc lạ với rẻ nữa nên khi đi ngang qua thây shop này rất vui. 1996 đa số là đồ nữ nhưng đồ nam cũng không thiếu đâu nhé! Từ croptop, maxi, vintage dress với cả miniskirt nữa. Mấy bạn nữ tha hộ mà chọn lựa luôn! Còn đồ của thì đa số là áo sơ mi vintage. mang kiểu cool ngầu mà không đụng hàng nữa. Giá cả thì mình thấy quá bèo luôn. Lựa được quán ưa ý rồi đó, Có lương lại tới tiếp!!!",4
40,"Tìm được quán trong kiệt nhỏ, nhưng quán decor khá xinh và bắt mắt! Quần áo nhiều, đa dạng lắm nè! Giá thì rẻ bèo!
Đã có địa điểm mới để shopping! Ahihi",4
41,"Shop nằm trong kiệt Phan Châu Trinh, cũng dễ tìm, không gian ở đây khá dễ thương mới nhìn cứ như là quán cafe vậy, không gian mát mẻ rộng rãi.
Về quần áo thì đây là đồ 2hand nên khi mua bạn phải tìm lâu 1 chút và biết cách phối sẽ có nhiều đồ đẹp. Mình cũng tìm được khá nhiều mẫu đẹp ở đây, đồ 2hand thì tất nhiên là ko mới nhưng được cái vải chất lượng, độc lạ và khá rẻ
Chị chủ thì vô cùng dễ thương, bạn tới cần đồ ntn cứ hỏi chị tư vấn kĩ cho. Shop có cả quần áo cho trẻ em nữa nhé.",5
42,"Shop đồ bành mới mở ở Phan Châu Trinh. Bạn mình rủ đi dịp khai trương đang đồng giá 50k nên hốt được cả đống đồ rẻ và đẹp về. 
Shop decor dễ thương, vào mua đồ còn có thể chụp hình sống ảo luôn được.
Điểm độc đáo của shop là không ghi gía tiền trên đồ luôn mà gắn tag theo màu và so giá tiền tùy theo từng màu của tag. 
Đó giờ không mặc đồ bành nhưng giá rẻ mà đồ đẹp như này chắc sẽ thành khách quen của shop mất thôi 😊",4
43,"Mĩnh vẫn thường xuyên đặt đồ bên này. Chủ yếu là quần áo và kính. Bên đó chị hay săn sale các hàng Forever21 hay mango các hãng thời trang thể thao... 
Mình oder thì được nhân viên hô trợ nhiệt tình, báo giá đầy đủ.
Nói chung là yên tâm.",4
44,"Chỗ order rẻ và đáng tin cậy
Từ ngày đc bạn giới thiệu và thấy đăng bài là hay order
Mình hay săn bên này có giảm giá thì mua cho rẻ
Hàng nước ngoài lại chất lượng",4
45,"Mình biết bên này cũng được 2 năm rồi, và cũng trung thành với nó từ đó giờ luôn. Ở đây hay order các loại giày dép, áo quần, mĩ phẩm, thực phẩm chức năng,...bách hoá tổng hợp 😂. Do chị chủ thường xuyên có code giảm giá nên thành ra khách hàng như mình cũng mua được đồ tốt mà giá hời nữa. Mình cực thích nhân viên ở đây, rep tin nhắn khá nhanh và dễ thương.",4
46,"Chỗ này mình được con bạn giới thiệu. Theo dõi facebook shop thích lắm. Shop canh me toàn những đợt sale của Top shop, H&M... hàng chính hãng mà toàn dưới 300k không à. Sẽ ủng hộ dài dài.",4
47,"Biết chị này trên facebook, mình có mua được vài lần rồi nên nay lên đây review luôn.
Ở đây thì chuyên săn hàng sale từ mấy trang Mỹ, Anh, Tây Ban Nha...Có mấy thương hiệu nỗi tiếng như Zara, Mango...chủ yếu là đồ thời trang và mỹ phẩm.
Vừa rồi mình có đặt cái kính và túi xách. Hàng rất hài lòng. Giá tuy đồ xịn nhưng được sale nên giá cũng tầm hàng mua ở shop hoặc hơn tí thôi.",4
48,"Mấy chị công ty tớ chuyên dùng đồ auth luôn. Nên cứ cần hỏi là mấy chị chỉ cho những chỗ uy tín. trong đó có địa chỉ này á. 
Tự dưng lướt foody thấy ngờ ngợ, hóa ra là ẻm nên vô cmt hí hí
Chị chủ có tâm nhất hệ mặt trời. Nhiều lúc có hàng hot, hàng sale là chị ấy lại port. 
Bữa mình có oder 1 mắt kính hiệu asos. Hàng giao về ta nói là nó tuyệt đẹp ấy. Không lỗi làm gì cả. Bao bì gói cẩn thận nữa. 
Ưng nhất là đúng hẹn.
Cái kính cháu mình mang.",4
49,"Mình có quen chị bé công ty hay order hàng xách tay bên này. Order hàng chất lượng lắm nha. Tầm nửa tháng là trả hàng. Giá cả cũng phải chăng
Nói chung giá cả ok, bên này order hàng cũng có tiếng ở đà năngx rồi á 
Sơ sơ mấy sản phẩm mình và chị bé cùng công ty đã order",4
50,"Cả đám hì hục mua quà ở chợ Hội An, mải chơi sao đó mà lạc mất mấy bọc quà. Chạy về Đà Nẵng ghé chỗ Hương Đà to oạch trên đường Võ Nguyên Giáp, giá đắt tương đương độ to của cái cửa hàng -_- Vô ko mua đc j hết luôn. Đắt kinh khủng. Nv lại còn thái độ k tốt.
Lên google search thì ra nhiều cửa hàng, trong đó có siêu thị Đại Lộc Phát. Thấy đc review tốt, cũng thuận đường đi nên ghé qua. 
Tuy gọi là siêu thị nhưng quy mô tầm cửa hàng, hàng hoá chưa thật sự quá đa dạng, bày trí cũng chưa thật sự đẹp mắt. Tuy nhiên, tạm gác những vấn đề nhỏ xíu đó thì cửa hàng này xứng đứng vs vote của nó. Giá cả khá mềm. Vd 1 hộp bánh dừa nướng ở chợ hội an mình mua 20k thì vô đây cũng chỉ có 22k mà thôi. 
Nói chung là giá siêu hạt dẻ. Ngay gần ga Đà Nẵng, cũng tiện đường ra sân bay luôn. 
Khi mình đi mua thì gặp anh chủ và ba ảnh, cả 2 đều dễ thương. Ảnh bảo cửa hàng là nhà luôn nên k tốn tiền mặt bằng nên bớt đc chi phí cho kh. Nói chung có mua đặc sản miền trung miền Trung tại ĐN thì cứ ghé vô đây là yên tâm.",5
51,"Siêu thị này nằm gần gas Đà Nẵng, ban giá rẻ mà lại còn tư vấn nhiệt tinh nữa. Đi đúng 1 vòng siêu thị và có 1 bịch quà to. Hehe. Rất đáng để đến",4
52,"Làm mấy bộ kệ này, nhìn không gian sáng hẵn, hơn hẵn mấy tủ kệ thông thường. Vừa tiết kiệm được diện tích, vừa thấy hiện đại. Giá thì siêu rẻ",5
53,"Shop ni bán nhiều đồ lắm nè bà con. Vô có 1 lần mà mê mẩn vì mẫu mã đa dạng, tha hồ chọn lựa. Tầng dưới giày dép đầy đủ, chị em phải nói là mê tít vì mẫu nào cũng có. Túi xách không nhiều nhưng toàn mẫu đẹp không thôi. Tầng trên thì quần áo cho nữ rất nhiều, cập nhật mốt liên tục nên không sợ bị lỗi mốt. Chủ shop thân thiện và nhiệt tình.",4
54,"Ở đường Lê Duẩn có nhiều shop quần áo khá đẹp nhưng tình cờ qua shop này thì thấy đồ rất nhiều, làm mình khá ưng ý. Tầng dưới là túi xách, giày dép,... tầng trên là quần áo. Bước vào là mê ly luôn, toàn mẫu mã đẹp đẽ lại được nhân viên tư vấn rất kỹ. Shop rất thân thiện và hoà nhã với khách hàng. Lần sau sẽ ghé tới mua đồ ở đây nữa :))",4
55,"Shop này đi qua thấy khang trang lắm nè. Không gian 2 tầng. Đi vô là thấy toàn giày đẹp vs túi xách, nhìn là mê. Giày ở đây nhiều đôi đẹp lắm. Có đầy đủ kiểu: búp bê, giày cao gót. 
Mình tậu được một đôi, mang vào cũng khá ok
Nhân viên thân thiện",4
56,"Mình thấy giày và túi xách bên này khá đẹp và đa dạng.
Chị chủ và nhân viên vui vẻ dễ thương, tư vấn chu đáo. 
Giá cũng tương đối, khoảng 250 đến 500k 1 đôi giày. Túi xách thì tùy loại.
Quần áo trên tầng 2 mình cũng ghé nhưng chưa mua, lần sau ghé lại.",4
57,"Đầu tháng mình nh tự thưởng cho mình và rủ đứa bạn đi mua đồ. Tui mình có ghé vào shop út mom trên đường Lê Duẩn, ấn tượng vì không gian shop khá rộng, và khá nhiều đồ có cả giầy dép,túi xách, quần áo, phụ kiện. Nhìn đồ ở đây khá chất lượng, mình có nghe chị chủ nói hàng hoá ở đây đa số là hàng quảng châu. Nhìn đẹp và chắc chắn, tuy giá có hơi cao tí nhưng chất lượng á. Cuối cùng đã chọn cho mình được 1 đôi giầy và 1 cái váy vừa ý. Sẽ quay lại.",4
58,"Hôm nhận được hộp rau mà mình thấy bất ngờ bởi các rau củ quả được cho vào hộp catton rất xinh xắn và thân thiện. Ấn tượng đặcbiệt là số lượng rau nhiều hơn mình nghĩ, rồi có nhiều loại rau khá lạ chỉ có ở Đà Lạt mới trồng. Sau khi ăn thì đúng là rau ngon, sạch và lạ nữa.
Các bạn shipper cũng rất vui vẻ và tư vấn thêm cho mình nữa. TỐT",4
59,"Đặt rau được 2 tháng r, không cần đi chợ nữa. rất thích cách tư vấn của chị chủ, cảm thấy được quan tâm chăm sóc sở thích của mình.

Mình đặt cho gia đình 4 người + mua thêm salad, thấy tiết kiệm hơn đi siêu thị mua rau mà chất lượng rau ngon, an toàn. Hay đc tặng đồ kèm theo như kimchi hoặc mấy loại rau theo mùa.",5
60,"Combo này dành 2 người mà 2 vợ chồng ăn 1 tuần mới hết, bữa nào cũng có rau, tính ra 20-30k/bữa ăn thoải mái",4
61,"Nhà mình đặt mấy lần rồi, mỗi lần đều thử 1 loại combo mới để ăn được nhiều loại rau đà lạt. Phải nói rau rất xanh và tươi, không bị héo khô, và sâu như 1 số bên. Có nhiều loại rau lạ nữa. giá phải chăng",5
62,"Thấy trên Foody đăng bài shop no, thấy cũng đẹp nên ghé zem thử thế nào, ở đây cơ bản là giày với túi xách, nhiều mẫu mã và đa dạng lắm hà. Lựa cả ngày á :)) giá cũng k quá cao tầm mấy chục với vài trăm cũng có, thích nhất mấy đôi giày búp bê, kiểu đep mà giá rẻ cực luôn ý, hehe. Nhân viên ở đây cũng tư vấn nhiệt tình lắm, shop cũng rộng rãi. Nằm trên đương Âu Cơ nên cũng khá dễ tìm.",4
63,"Mới dẫn con ghẹ qua, ở Hòa Khánh thì cũng ít thấy shop giày nào to bự như shop này đó.
Giày dép thì mình thấy cũng đủ cả thể loại, mà chỉ bán của nữ thôi.
Vì không phải ở trung tâm thành phố nên thấy giá cũng mềm, ngoài giày dép thì cũng có bán nhiều túi xách lắm. Thấy cũng ưng ý nên mua được đôi bốt và cái túi.
Có dịp sẽ ghé lại ủng hộ. Nhân viên cũng nhiệt tình.",4
64,"Khảo sát qua vài lô trong chợ Hàn thì đây là lô bán các loại, đặc sản (khô bò, mực rim, trà sâm dứa, bánh đậu xanh, bánh dừa nướng,...) & thực phẩm rất chất lượng vs giá tốt nhất mình biết. Ở mấy lô khác người bán đã có thái độ bán hàng không tốt mà giá còn cao hơn rất nhiều.",4
65,"Đây là lô m có cảm tình & kết nhất trong chợ Hàn 👍
Bạn được thử món ăn trước khi mua, món nào không có mẫu thử mà khách yêu cầu thì Chị cũng xé bọc cho thử tuốt luốt :D Chị còn đem ly trà đá ra mời khách, ôi bán hàng quá xá dễ thương & vui vẻ ❤
Mọi thứ m mua về đều rất ưng ý & theo khảo sát thấy Trung Yên (Lô 17) là chỗ bán hài lòng nhất, giá tốt nhất & nhiệt tình nhất.
Khi quay lại ĐN nếu cần mua đặc sản chắc chắn quay lại chỗ Chị ;)",4
