 ,Review,giai_tri
10,"Hôm 20-11 mình có ghé đây cùng nhóm bạn ^^ Không gian sang trọng, sạch sẽ. Danh sách bài hát đc update mới nè, âm thanh cũng rất ok nha. Do mình hát không có hay nên chủ yếu ngồi nghe mọi người hát và ăn thôi ))

Nhóm mình gọi tầm 5 ly nước, 2 món ăn và 1 dĩa trái cây to. Nhận xét chung thì các món ở đây đều ngon và đc bày trí khá bắt mắt. Món giò heo chiên giòn rụm, chắc thịt, ăn cùng đồ chua và củ kiệu, làm mồi nhắm là bao hao luôn ^^ Dĩa mực là rù quyến nhất. Em mực mập, thịt tươi chứ ko bở đâu. Nước sốt ngon. Ăn hết trong vòng 1 nốt nhạc )) Dĩa trái cây to và hoành tráng hén. Mình gọi nước ép ổi, uống ok lắm ^^

(+) giữ xe free, nv thân thiện.",4
11,"Thấm thoát mà đã gần 1 năm mình đến đây rồi, hôm nay mặt tiền sửa sang lại trông nổi bật hơn, không gian sang đẹp với nhiều phòng trang bị khác nhau.
Do mình đi ít hơn đợt trước nên vào phòng nhỏ thôi, tuy nhiên vẫn được decor ấm cúng và phần âm thanh cũng rất trong trẻo.
Lựa chọn gói combo thấy khá hợp lý, bao gồm 2 giờ hát, 16 chai bud, 2 món ăn và dĩa trái cây ngồi lai rai với bạn khá thích hợp.
Nhân viên thân thiện và chu đáo.",4
12,"Không gian đẹp, hơi tối nhưng nhìn sang. Phục vụ nhiệt tình, vui vẻ. Chọn bài hát bằng máy tính bảng, bài mới đc cập nhập đầy đủ. 
Duy chỉ có đồ ăn thức ăn quá mắc . 1 ly nước chanh đá 45 nghìn. 1 chai aquafina 35 nghìn.",3
13,"Cũng lâu rồi mới đi ca lại và quay lại Avatar, mặt tiền sửa sang lại thấy sáng sủa và sang trọng hơn. Mấy lần trước đến mình rất ấn tượng với đồ ăn của nơi này và lần này cũng không phải là ngoại lệ. Thịt thì giòn rụm ăn kèm với kiệu và rau củ, mực tươi nên cực săn chắc không hề bị bở và nước sốt thì rất ngon. Trái cây cũng vậy, tươi và chắc. Mình uống ép ổi làm vừa không bị ngọt chảy đá ra vẫn uống ổn. Âm thanh ở đây mình khá thích dù không hát nhiều lắm, chủ yếu nghe bạn ca không à. Nếu muốn vừa ca hay vừa ăn ngon thì đến đây là chuẩn rồi. Nhà wc va phong hat sạch sẽ.",4
14,"Vừa rồi công ty có tổ chức thi văn nghệ để chẩm điểm thi trong đêm Gala Dinner của chuyến du lịch team building ở Nha Trang nên có thuê phòng tại Avatar để thi vòng loại, mình ham hố cũng đăng ký thử xem sao vì nếu có bị loại cũng được karaoke mà hehe.Do mình đến sớm nên còn vắng hoe tranh thủ hát vài bài, mình thây không gian phòng khá là rộng và âm thanh nghe hay, vị trí đặt loa vang đều khắp cho cảm giác khá tốt, kết quả cuối cùng là mình đã bị loại nhưng thôi kệ cứ thỏa được niềm đam mê ca hát là được.",4
15,Karakore. Phòng đẹp âm nhạc hay... chỉnh nhạc ko bị hú.... phòng nào cũng có sàng nhảy nhót vui giá thị cũng đc,4
16,dg có chương trình checkin tặng nón avatar đẹp cực kì. bạn nào đên chơi thì nhớ hỏi nv hướng dẫn cách chekin để dc cái nón đẹp lắm nha.,4
17,"Lâu rồi không vô avatar hát, hôm nay đi sinh nhật bạn thấy phòng sửa lại đẹp hơn trước.chắc vài bữa sinh nhật mình sẽ tổ chức ở đây ln.",4
18,Mình là khách rất rất quen ở đây. Lúc trước thì thấy nhân viên phục vụ cũng ok. Đáng ra là lần ky rồi mình sẽ không quay lại rồi nhưng mình cũng thông cảm chắc làm mệt nên đôi khi người ta có thái độ như vậy. Nhưng lần này GOODBYE LUÔN VÀ SẼ KHÔNG BAO GIỜ QUAY LẠI ĐÂY. Nhưng 2 lần gần đây thái độ quá mất dậy. Mặt quản lý thì như cái bánh bao thiêu giống như ai ăn hết của. Nhân viên kêu chụp hình dùm group thì than phiền nói không muốn chụp vì hôm nay nhiều người nhờ chụp dùm. Nói cho nghe saigon không phải là không có chỗ để đi chơi và không phải chỉ có karaoke avatar. Có khách thì mới có việc cho mấy em làm và có khách mới có miếng cơm cho các em ăn.,2
19,"Nhậu xong chầu 1 các ace rủ đi hát karaoke, vào quán bên cạnh cho nhanh và khỏi tốn thời gian di chuyển. Nhân viên tiếp tân đón tiếp nồng nhiệt nhưng hơi gượng gạo, chắc do có nhiều anh chàng nhà quê lần đầu lên sài phố. Thức ăn kêu ra để ăn dặm và vài chai bia để đối ẩm cho vui. Thức ăn không ngon lắm. Quán trông khang trang, phòng bố trí đẹp và sang trọng nhưng nhân viên chưa nhiệt tình chắc một phần do lý do nói phía trước. Dàn âm thanh có vấn đề 1 tẹo chắc do thiếu bia?",3
20,"Tổ chức sinh nhật ở đây, gọi rượu vang, chỉ chai 590k một lúc nói không có, một lúc nói có. Rồi sau đó cười cợt tủm tỉm... Xin lỗi các em, cứ cười đi rồi cũng end up là người phục vụ...

Phục vụ rót rượu, nước cho khách là cái tốt. Nhưng người ta đã từ chối và nói đây là private party nên các em cứ để nhóm anh tự nhiên. Nhưng không, cứ 10ph vào 1 lần ko rót này rót kia thì mở cửa ra ngó vào xong đóng cửa đi ra. Đang hát, đang bốc với những thứ funny nhất thì với kiểu đó cũng phải tụt cảm xúc. Thêm nữa, lúc rót rượu, nếu biết ý thì sẽ đứng tránh một bên, đây thì cứ giữa màn hình anh đứng, yên tâm ai ko thuộc lời thì khỏi hát tiếp.

Kết buổi, tính tiền, tự dưng thấy khoảng 3 bạn phục vụ ra đứng xếp hàng, và nhắn nhủ: Anh cho em xin tip...

Thôi tạm biệt, em yên tâm em ko bao giờ gặp lại anh và người thân của anh. Trừ phi em đi phục vụ ở quán khác!",2
21,"Lâu rồi ko ghé quán sửa sang lại nhận ko ra! Quá đẹp!
Đồ ăn ngon, âm thanh hay hơn trước rất nhiều! Chỉnh bài hát bằng máy tỉnh bảng nhé!
Phục vụ khá nhiệt tình đứng chọn bài hát giúp khách! 
Điểm + là đồ ăn quá ngon! Cực kì phù hợp tiếp khách, đãi tiệc!
Sẽ quay lại nữa do người nhà quá nhiều ng yêu thích!
Đc tặng nón khi like fb nữa nhé!",4
22,"Karaoke có trò quay theo lượt vui; nhạc mới cập nhật liên tục, phòng thì thích phòng nhỏ âm thanh vừa đủ chơi cho nhóm 8 người
Thức ăn ngon ơi là ngon giá từ 150k phần trang trí bắt mắt. 
Món Ếch mình rất thích, đồ ăn làm gia vị đậm đà. Nhân viên dễ thương. Ở đây hơi tối chút
Chơi khuya đến 4h luôn",4
23,"Lần đầu tiên rời bỏ Kingdom đến với Avatar để có trải nghiệm mới!!!
Khá thất vọng về nhạc, thức ăn, shisha...
- phòng trang trí khá đẹp mắt ( hơi tối)
- sử dụng ipad điều khiển nhạc , mình hát không hay những cũng tạm ổn, bạn mình thì bát khá hay mà khi háy mic ở đây cảm thấy rất bị dìm... 😣😣😣
- Thức ăn eo ôi, cơm khô, sụn gà cứng như đá.
- Shisha bỏ nguyên bình
- Bù lại nhận viên ở đây rất nhiệt tình, dễ thương. Mấy chị tiếp tân rất dễ thưong ( tiếp tân kingdom rất chảnh)
Hjc mình lôi kéo bạn bè đã đời nó mới chịu thay chỗ hát mà vào avatar thật khá thất vọng 😥😥😥
Nếu không cải tiến lại dàn máy hát và chất lượng thức ăn .. Có lẽ mình và bạn mình sẽ không bao giờ lại lần nào nữa 😓😓😓
Bù được cái vòng xoay này ( mà cũng hem quay dc 😭😭😭)",3
24,"Hôm qa đc dịp gé avatar chơi cùng bà chị ở đây, cảm nhận đầu tiên là nhân viên ở đây qá dễ thương, pv thì nhiệt tình, đồ ăn ngon, mình rất thik món giò heo qay muối & bắp bò tỏi ớt ở đây, âm thanh khỏi bàn lun tuyệt vời ông mặt trời có điều ban đầu hơi k ưng có lẽ do mình chưa qen hay s ấy nhưng tí nữa là có a kỹ thuật lên chỉnh lại ok lắm lắm, có cơ hội sẽ gé avatar 1 ngày k xa 😍 best choice",4
25,"Hôm nay sinh nhật bà chị thật là vui.đi ăn nhậu xong rồi được hát nửa chứ.mà vô quán karaoke avatar vui thật nha.từ lúc đến bảo vệ, lể tân tiếp đón nồng hậu.lên phòng hát thi phục vụ khỏi chê lun vui vẻ nhiệt tình,còn nửa hoi bị men đó.phòng hát thì củng đẹp nhưng được cái âm thanh thì hơi bị good đó nha.lần sau snhật mh se ghé avatar chơi cho thật hoành tráng lun ah😍😍😍😍😍",4
26,"Hồi cuối tuần mình với gia đình có book phòng tổ chức sinh nhật tại Karaoke Avatar.
 khi nhận phòng mình thấy phòng đã được trang trí hoa và bong bóng nhìn rất đẹp. Và mình còn được nhân viên tại Avatar hoạt náo tổ chức sinh nhật. Phục vụ rất nhiệt tình và vui vẻ. Âm thanh thì khỏi chê.
Đặc biệt ở đó còn có chương trình khuyến mãi sinh nhật bao nhiêu tuổi được giảm bấy nhiêu %. 
Mình sẽ ghé lại vào dịp tới",4
27,"Hôm nay mình có đặt phòng ở đây, phòng dạng 250k/1h. Mình đi 8 người, chỉnh nhạc quá dở, ồn tạp âm, mình tổ chức tiệc nên phải quay clip và quán làm hỏng hết clip của mình. Phục vụ thì quá tệ, kêu chỉnh nhạc mà đứng đơ đơ...lúc bạn mình đi vệ sinh thì cứ nhìn như biến thái vậy...!!!!
Thêm nữa, lúc tính tiền thì mình đã đưa tip mặc dù phụ vụ tệ, nhưng lúc đưa hoá đơn lại đòi thêm ... cả đám đứng xếp hàng mà trong khi đó chỉ có 2 người phục vụ...! nói thật hoá đơn của mình cũng ko ít, nhưng mình muốn số tiền bỏ ra đáng với chất lượng đáp lại. Quá thất vọng, mình mong quán nên cải thiện!!!
p/s: Sẽ ko quay lại!",2
28,"Vị trí ở trung tâm, phòng karaoke rộng đẹp, âm thanh tốt. Mà nhìn chung thấy hơi bị tối.
Karaoke mà làm đồ ăn ngon như nhà hàng vậy á, còn được trang trí đẹp dễ sợ à.
Đồ uống pha cũng đẹp mắt nữa.
Giá cả thì hơi cao.",4
29,"Hồi kỳ bọn mình đống đô tại Avatar , ăn uống hát hò đông vui quá chừng , bữa tiệc cuối năm huy động quẫy hết mình.
Kgian nhiều phòng đẹp , mang mỗi phong cách riêng , âm thanh chất lượng cao , cập nhật rất nhanh những bài hát hot nhất hiện nay từ Anh - Việt - Hoa
Chỉnh nhạc bằng máy tính bảng gọn lẹ , công nghệ hóa
Ánh sáng sống động tạo hiệu ứng rất đẹp.
Menu rất đa dạng , đồ ăn khá ngon , trình bày tỉ mỉ bắt mắt , đồ uống giải khát vừa ngon vừa đẹp , trang trí hay hay thêm phần ngon miệng.
Nhân viên nhiệt tình , chu đáo , cũng thân thiện lắm.
Dạo này gần Tết , Avatar có nâng cấp lại nhìn diện mạo sang hơn & đẹp mắt hơn nữa áh.",4
30,"Mình ít đi karaoke lắm nên cũng ko rành nhiều. Nhưng ở đây các món ăn thật sự khá ấn tượng, phần ăn nhiều, trang trí cực đẹp mắt và vị cũng được đảm bảo. Phòng hát cũng đẹp và sạch sẽ. Chọn bài bằng ipad nên khá tiện, âm thanh vừa phải. Nước uống phong phú, nhưng chờ nước lên hơi lâu. Nhân viên nhanh nhẹn.",4
31,"Hôm nay được dịp mình với mấy bạn già ghé avatar chơi. Phòng đẹp, âm thanh hay, đặc biệt có e phục vụ tên tuấn rất dễ thương,chăm sóc khách quá chu đáo. Lần sau có dịp nhất định sẽ lại ghé. Mọi người nên đến thử",4
32,"Thấy quảng cáo trên facebook nên rủ bạn bè cùng đi thử xem ntn.  
Cảm nhận phòng rất đẹp, cực thích hợp để quẩy luôn. 
Đúng là tiền nào của nấy :)))))) Chất lắm!",4
33,"Quán đẹp ngất ngây, tính tiền thì cũng ngây ngất. 
Mình đi với cty vào buổi trưa khoảng hơn 2h nên được giảm 50% giá tiền. 
Phòng Mini bar đẹp, hình như sức chứa phòng được đến 40 người. Không biết do người chình âm thanh hay như thế nào mà hát nghe giọng rất nhỏ, chủ yếu là nghe tiếng nhạc thôi.
Mình thấy điểm trừ là ít micro, sức chứa đến 40 người mà chỉ có mỗi 2 mic. Chỉ có 1 bãng điều khiển duy nhất share cho mấy chục người, nên mọi người cứ phải nháo nhác đi tìm mỗi khi muốn chọn bài. 
Cty mình muốn xuất hóa đơn thì mấy em phục vụ đòi tiền tip (mặc dù chả mấy lúc thấy mấy em phục vụ), đưa 150k có sẵn thì mấy e chê ít & nói nếu chỉ có vậy thì không xuất hóa đơn.... Ôi thần linh ơi!! :)",4
34,"Có dịp ghé đây hát vào dịp cuối năm. Không gian rộng rãi thoải mái, đồ ăn khá ngon, các đồ uống trang trí đẹp và ngon nữa. Ở đây menu chọn lựa bài hát được dùng bằng ipad nên rất tiện lợi, tìm bài hát khá dễ dàng so với cuốn menu thông thường. Nhân viên phục vụ rất lịch sự và chu đáo.",4
35,"Hòa mình vào phòng hát Minibar hoành tráng.,âm thanh cực đỉnh cùng những ưu đãi tuyệt vời
Avatar karaoke đúng là sự lựa chọn hoàn hảo nhất
Các bạn hãy cùng đến để trải nghiệm nhé👍",4
36,"Hôm rồi mới tổ chức tất niên sớm ở đây, nhóm mình đi đông nên được phòng vip cực kì to rộng luôn nha, có sàn để nhảy nữa. Karaoke đủ các bài từ nhạc VN tới nhạc Tiếng Anh, nhạc Hoa, Hàn và hầu như bài mới nào cũng được cập nhật đủ, chọn bài trên máy tính bảng luôn rất nhanh. Âm thanh có thể điều chỉnh được tuỳ theo giọng, nhạc hay sàn nhảy cũng khá chắc chắn

Mấy món nước với đồ ăn cũng khá ngon, trình bày rất có đầu tư luôn nha, mình ăn thấy có món chả giò sốt mayo ngon đó, hoặc gỏi mực cũng khá ok. Nước uống decor cũng đẹp nữa, có trà sữa thái ngon lắm. Phục vụ khá chu đáo và nhiệt tình",4
37,"Cuối năm rồi, xõa 1 bữa với anh em cho vui. Tụi mình đi hơi đông nên chọn phòng rộng rãi cho thoải mái. Đúng là phòng VIP có khác, thiết kế ấn tượng với đèn led chiếu lấp lánh xung quanh phòng, ai thích hát thì lên sàn có dãy đèn lấp lóe liên tục hơi bị giống sân khấu mini nha.
Mình hiếm đi karaoke, nên hơi bỡ ngỡ với menu lựa chọn như máy tính bảng, tìm bài hát khá dễ dàng so với ngày xưa.
Dàn âm thanh chất lượng, lắng nghe mấy đứa em hát tiếng anh phê luôn.
Quán karaoke mà chế biến thức ăn ngon tàn canh, trình bày lại đẹp mắt nữa chứ.
Thức uống pha chế và trang trí đẹp mắt, uống cũng ngon.
Nhân viên phục vụ chu đáo.",4
38,"Đầu tiên là không gian bên trong bao đẹp luôn. Nhân viên phục vụ nhiệt tình từ khâu gửi xe cho đến lúc vô tới phòng. Nhân viên toàn xinh trai đẹp gái không hà.
Bài hát cập nhật siêu nhanh luôn, một số bài hát mới trên thị trường đã được cập nhật ngay luôn. Hiện đại nhất là chọn bài bằng máy tính bảng rất tiện và nhanh chóng.
Nước uống nhiều và ngon hợp khẩu vị, được trang trí rất đẹp. Thích nhất là món ăn được trang trí rất đẹp và ngon.
Trong phòng có cái sân khấu nhỏ, nhảy nhót thoải mái, cùng bạn bè vào quẩy từng bừng luôn. Có dịp tiệc tùng cùng bạn bè, đồng nghiệp thì chọn chỗ này là tuyệt vời luôn.",4
39,"Nhạc hay, nhiều bài mới, cập nhật nhạc nhanh lẹ nên thích quá chừng luôn. Không chỉ nhạc Việt mà nhạc tiếng Anh cũng phong phú. 
Dàn âm thanh hay, kỹ thuật viên lịch sự và nhiệt tình. Phòng rộng rãi, thoáng. Mới vào là mình ấn tượng cách thiết kế phòng liền luôn.
Đồ ăn ở đây làm khá ngon và bắt mắt, trang trí chăm chút. 
Mình và bạn bè gọi soda, thấy pha rất ok, chua ngọt vừa phải, dễ chịu.
Chi phí hơi cao so với các quán karaoke khác nhưng bù lại, chất lượng hơn hẳn. Chắc chắn sẽ quay lại nếu có dịp!",4
40,"Nhân viên phục vụ rất nhiệt tình, đã vậy còn đẹp trai nữa chứ. Chất lượng dịch vụ phòng ốc rất đẹp (tiền nào của đấy mà).
Mấy bạn mà chê thì mình cũng chã biết nói sao luôn 😩
Hình nước uống hôm bửa nè. Siêu đẹp luôn nhóe! Sẽ ghé hoài luôn :-))))))",5
41,"Lâu lắm lại quay lại Avatar chơi! Phòng hát mới, âm thanh hay, micro không dây & màn hình chọn bài cảm ứng. 
Phục vụ rất ok! Nhưng shisha thì phục vụ hơi lâu! Cả 20-30 phút mới có! 
Có món me ngâm mình rất thích ăn nữa! Nói chung là tuyệt!!!",4
42,"Đến bây giờ ngồi viết review mình vẫn còn cảm gíac khó chịu vì ko đc xem trọng.

Sau hàng loạt sự cố như âm thanh gắt, máy lạnh hư, nhân viên ko nở 1 nụ cười, nhấn chuông gọi phục vụ siêu chậm và đỉnh điểm là dàn âm thanh đứng im phải reset lại từ đầu.

Mình khuyên chân thành ai muốn tổ chức tiệc sn, hay vào mà có cảm gíac ko thích chỗ này thì ngoảnh mặt đi đổi chỗ khác đi. Chứ mà cứ nghĩ cho họ, hồi sau ko thay đổi mà còn phục vụ bạn tệ còn hơn chữ tệ nữa

Thân ái chào tạm biệt và hứa là hổng quay lại nữa",2
43,"Mình thường cùng bạn bè ghé avatar hát, âm thanh, cách phục vụ điều good , nhân viên nhiệt tình dễ thương, còn "" đẹp giai"" nữa chứ^^. Giá có hơi chát nhưng "" tiền nào của nấy"" , nên mình cũng cảm thấy đáng đồng tiền
Cách đây không lâu mình vô tình chứng kiến 1 chuyện lộn xộn ở đây , mém rớt tim hix. Nhóm khách khoảng 10-15 người thì phải đang cãi cọ gì đó với nhân viên ở đây, thấy họ hùng hổ xô đẩy phục vụ như muốn đánh lộn , rồi xô thế nào làm 1 bạn nữ đi cùng họ mém té , lại đẩy sự việc lên cao trào .Tới đây sợ quá nhóm mình rút êm vì hỏng liên quan đứng xem hồi bị vạ lây. 
Nhưng mình lên foody thấy mấy bạn bình luận sự việc hình như o đúng sự thật lắm thì phải , mình thấy nhân viên vẫn nói chuyện rất bình thường , v vẫn giữ thái độ ôn hoà để giải quyết sự việc, chỉ có mấy bạn khách lúc ấy hình như say rồi thì phải cứ la ó, xô đẩy mấy bạn phục vụ mới có cớ sự bạn của mấy bạn suýt té
Sorry trước nha vì chuyện hỏng liên quan mà mình lại nhiều chuyện , nhưng tính mình hơi thẳng , biết mà o lên tiếng lại khó chịu. 
Sẵn đây mình có chút góp ý với avatar karaoke là thái độ phục vụ rất good nhưng khâu bếp v pha chế hơi chậm , vì mấy lần mình kêu đồ ăn v nước uống hơn 30 phút mới có, hát nhiều nên mau kho họng^^.",4
44,"Mình có hát ở đây hôm Halloween vừa rồi. Phải công nhận là hoá trang rất đẹp và ấn tượng. Nhân viên thân thiện, chụp ảnh rất nhiệt tình với khách. Đồ ăn ngon, phòng ốc cũng đẹp. Nói chung là tốt. Sẽ quay lại.",4
45,"Chúng tôi đi khoảng 15 người và được cho 1 phòng càng ngày càng nóng. Sau khi nhiều lần yêu cầu được sửa máy lạnh thì sửa khôgn được . Yêu cầu đổi phòng thì không được đổi vì hết phòng. chúng tôi tính tiền và ra than phiền với nhân viên. Chưa biết đúng sai thì đây là những cái chúng tôi nhận được :

1. Than phiền phòng quá nóng . NV trả lời : do hư máy lạnh. 
    Vậy tại sao lại dắt khách vô phòng này . NV trả lời : máy lạnh mới hư gần đây ! ??? ! 

2. Chúng tôi được bớt 72k tiền giờ vì máy lạnh hư 

3. Tất cả nhân viên từ : a thu ngân, a e chị phục vụ, a quản lý có ở đó đều chung 1 thái độ khinh thường, cười khách vì đang kiếm cớ để đòi bớt tiền giờ hát với lý do 300k/ 1h mà máy lạnh hư

4. Khách càng ngày càng tức. muốn chụp hình đăng để review thì nhân viên mời SẬP CỬA rồi giải quyết. Khách sợ kêu công an phường nhưng lại không được giải quyết. đành lủi thủi đi về trong tiếng cười đùa giễu cợt của nhân viên. khách giơ máy chụp hình thì nhân viên ""say hi"" chụp hình chung.

5. Trong lúc lớn tiếng. NV đẩy tay qua lại vơi khách nữ đang than phiền về chất lượng. 1 khách nam thấy bèn đẩy ra nói không được đụng tay vào ng khác. NV tiếp tục giằng co và hất 1 phát trúng khách nam khách nam bị đẩy ra trúng khách nữ trượt cầu thang. rất may đã chụp lại kịp chỉ bị văng 1 chiếc giày. Và NV vẫn điềm tĩnh nói chuyện :"" phục vụ đàng hoàng với khách đàng hoàng, còn khách này không đàng hoàng thì như vầy""
!!!

Chúng tôi tức giận vì trả tiền cho dịch vụ chưa xứng đáng. chúng tôi nóng giận. chúng tôi đòi quyền lợi. Và đây là cách Avatar Karaoke dành cho chúng tôi - NHỮNG NGỪOI KHÁCH KHÔNG ĐÀNG HOÀNG. 

Nếu bạn không có ý định đòi hỏi cao hay than phiền gì về djch vụ thì nên thử Avatar Karaoke.

Nhớ hỏi kĩ thông tin khuyến mãi nha, nhất là những brochure trên bàn. vì có những chương trình ""mới"" thay đổi mà quán chưa thay brochure nên còn trên bàn. 

Àh nhớ yêu cầu phòng Karaoke 6 số. Vì phòng chúng tối là phòng 5 số đầu ariang, lúc yêu cầu nhân viên mới mở khoá chỉnh 6 số và phát remote 6 số - nhớ học thuộc bài luôn vì không có list cho 6 số đâu.",1
46,Quán làm dịch vụ mà cực kỳ mất dạy với khách. Nhóm mình đi 10 người. Nhét vào 1 fong máy lạnh bị hỏng. Hát 1 lát thi nhóm mình chịu không nổi nên đi ra tính tiền. Lúc tính tiền thì feedback lại vs nhân viên thì gặp thái độ trả lời cực kỳ mất dạy. Trên poster thì đề birthday bao nhiêu tuổi giảm bấy nhiêu %. Lúc hỏi thì lại nói chương trình hết lâu rồi. Sau khi đôi co thì lại có thái độ xô đẫy khách. Làm chị bạn mình xém té xuống cầu thang. Trả lời giọng cực kỳ giang hồ. Không hiểu karaoke sang trọng mà làm ăn cái kiểu gì. Vừa mắc mà vừa không ra gì. Đi vào chỉ thêm tiếc tiền. Cả đám mình thề là sẽ không bao giờ quay lại đây. Quá thấy vọng!,0
47,"Phòng ốc mới rất đẹp, đèn nhấp nháy theo nhạc, giá cả cũng tốt, hợp túi tiền với Kh từ 4 người trở lên, phục vụ dễ thương, niêm nở, âm thanh thì đa dạng với 4 loại đầu máy là: 5 số, 6 số Ktv, 7 số ariang + ktv, 6 số hanet. Nói chung là good. Shisha thì ngon khỏi chê, sẽ ghé thường xuyên.",5
